time_hours,CommunityReplicate,SangerID,Genus,type,Family,ChromoType,mean.glu,abs.mean,pH.orig,aceConc_nmol_uL,succConc_nmol_uL,lacConc_nmol_uL
28,C11R2,280,Enterobacter,mono,Enterobacteriacea,B,5.04E-05,0.191,6.337729291,9.014892597,0.551320583,0.704702819
28,C11R2,343,Aeromonas,mono,Aeromonadaceae,B,0,0.307,6.028758816,12.13264366,0.608375368,4.780988392
28,C11R2,344,Enterobacter,mono,Enterobacteriacea,B,0,0.164666667,5.631428185,12.44683562,0.470968427,6.704374527
28,C11R2,345,Raoultella,mono,Enterobacteriacea,B,0,0.221333333,6.285809737,8.966555371,0.033310681,4.564405416
28,C11R2,346,Escherichia/Shigella,mono,Enterobacteriacea,B,3.35E-06,0.171666667,5.218803804,14.86369691,0.565346551,4.939384898
28,C11R2,348,Raoultella,mono,Enterobacteriacea,B,1.9E-05,0.183333333,5.782564725,14.0903013,0.484518939,7.50928738
28,C11R2,350,Pseudomonas,mono,Pseudomonadaceae,W,0.008005869,0.035,6.903519956,0.362529193,0.036163421,0
28,C11R2,453,Acinetobacter,mono,Moraxellaceae,W,0.2,0.039,6.859338609,0.024168613,0.034737051,0
28,C11R2,454,Acinetobacter,mono,Moraxellaceae,W,0.007943069,0.041,6.791112501,0.652552547,0.035925692,0.009697745
28,C11R2,458,Serratia,mono,Enterobacteriacea,B,0,0.187,6.119423938,10.31999769,0.677554294,5.844507785
28,C11R2,460,Enterobacter,mono,Enterobacteriacea,B,0,0.166666667,5.616201058,13.38941152,0.465500677,6.933887831
28,C11R5,352,Pseudomonas,mono,Pseudomonadaceae,W,0,0.230666667,6.337729291,0.50754087,0.034974779,0.058186471
28,C11R5,356,Raoultella,mono,Enterobacteriacea,B,0,0.194333333,6.226731732,9.2082415,0.064215357,4.334892112
28,C11R5,462,Pseudomonas,mono,Pseudomonadaceae,W,0,0.222333333,6.353967752,0.459203644,0.03354841,0.05495389
28,C11R6,358,Raoultella,mono,Enterobacteriacea,B,0,0.22,6.281129459,7.540607212,0.004222169,4.454497637
28,C11R6,360,Klebsiella,mono,Enterobacteriacea,B,0,0.196666667,6.448305977,6.791380214,0.053996139,1.276869787
28,C1R2,259,Citrobacter,mono,Enterobacteriacea,B,0,0.166,4.692081776,18.12645965,0.459140023,4.819779373
28,C1R2,364,Serratia,mono,Enterobacteriacea,B,0,0.194,6.299053631,6.839717439,0.751018199,4.373683093
28,C1R2,428,Pseudomonas,mono,Pseudomonadaceae,W,0.103971534,0.034333333,6.874690642,0.435035031,0.026436527,0
28,C1R2,432,Pseudomonas,mono,Pseudomonadaceae,W,0,0.275333333,6.362721652,0.483372257,0.030370195,0.106675197
28,C1R4,267,Pseudomonas,mono,Pseudomonadaceae,W,0.001553146,0.196,6.31858073,0.652552547,0.034566108,0.025860654
28,C1R4,269,Enterobacter,mono,Enterobacteriacea,B,0,0.193,5.966499379,9.860794047,0.535715429,0.219815558
28,C1R4,270,Citrobacter,mono,Enterobacteriacea,B,0,0.157333333,4.677390168,17.54641294,0.493756302,5.880066184
28,C1R4,435,Citrobacter,mono,Enterobacteriacea,B,0,0.165,4.627326655,19.14154139,0.486151211,6.924190085
28,C1R6,272,Pseudomonas,mono,Pseudomonadaceae,W,0,0.299333333,6.371606157,0.483372257,0.021716126,0.164861669
28,C1R6,273,Enterobacter,mono,Enterobacteriacea,B,0,0.197333333,5.837049623,10.63418966,0.590524539,0.14869876
28,C1R6,274,Pseudomonas,mono,Pseudomonadaceae,W,0.007954844,0.122666667,6.350299123,0.773395612,0.032205907,0
28,C1R6,438,Serratia,mono,Enterobacteriacea,B,0,0.186333333,6.200498901,9.425759016,0.685457063,4.991106205
28,C1R6,439,Citrobacter,mono,Enterobacteriacea,B,0,0.174,4.790191863,17.40140126,0.461500224,5.081618494
